date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-07-06,MSFT,390.49,384.48,227405,60992,0,0,112487714.0,34576177.0,0.2682,,8,0.0156,0.0,0.0041,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,NVDA,194.83,197.14,900087,439123,0,0,168154132.0,142500828.0,0.4879,,8,0.0313,0.0312,0.0082,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,TSLA,393.45,428.01,888064,625909,218,1246,373875893.0,610292652.0,0.7048,5.7156,8,0.0156,0.0,0.0041,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,WMT,111.84,109.33,157719,55555,0,0,18857269.0,12660214.0,0.3522,,7,0.0156,0.0,0.0046,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,XOM,137.09,137.15,26632,14751,1,445,3906775.0,10675664.0,0.5539,445.0,7,0.0156,0.0,0.0046,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-07,AAPL,312.66,307.36,338815,186925,1,0,181529310.0,28877957.0,0.5517,0.0,8,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,AMZN,244.16,243.8,253340,113305,0,0,146795178.0,78573026.0,0.4472,,8,0.0156,0.0312,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,GOOGL,366.46,361.55,103484,42488,0,0,62420663.0,14310767.0,0.4106,,8,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,JPM,337.72,335.0,73821,14691,589,140,103234220.0,3375141.0,0.199,0.2377,7,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,META,600.29,594.84,168769,58619,3,21,127950451.0,56072519.0,0.3473,7.0,8,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
